Country,Population,Region,"Estimated prevalence of modern slavery per 1,000 population",Estimated number of people in modern slavery,Governance issues,Effects of conflict,Total Vulnerability score (%),"Risk factors, such as attitudes, social systems, and institutions that enable modern slavery are addressed (%)",Government response total (%),Survivors of slavery are identified and supported to exit and remain out of modern slavery (%)
Sweden,10099000,Europe and Central Asia,0.5693487524986267,6000,11.90624523131669,33.28165292755831,7.408663581648714,78.57142639160156,62.82051467895508,59.09090805053711
Switzerland,8655000,Europe and Central Asia,0.4981281459331512,4000,24.52188952219082,12.81286788070328,13.63821269940874,64.28571319580078,50,50
Syria,17501000,Arab States,8.733797199233372,153000,67.8421202700473,93.7591743119266,83.36540207865447,,,
Taiwan,23817000,Asia and the Pacific,1.68527090549469,40000,25.95814343702939,4.132454128440367,21.33333581231985,78.57142639160156,47.29729843139648,45.45454406738281
Tajikistan,9538000,Europe and Central Asia,13.95576953887939,133000,68.6217051020395,33.14647527416938,66.5189308865272,35.71428680419922,35.89743423461914,22.72727203369141
Tanzania,59734000,Africa,2.85969066619873,171000,49.89439173702424,22.31415216534235,53.25923415064766,35.71428680419922,42.30769348144531,45.45454406738281
Thailand,69800000,Asia and the Pacific,5.741637706756592,401000,42.44192512145879,54.95736691538696,46.47405711479566,64.28571319580078,55.12820434570313,50
Timor-Leste,1318000,Asia and the Pacific,6.050777912139893,8000,46.37179526064928,9.88993933328778,51.16248236688981,35.71428680419922,34.61538314819336,31.81818199157715
Togo,8279000,Africa,3.349859714508057,28000,60.22341736739804,12.7176683873796,56.53166083649204,42.85714340209961,33.33333206176758,27.27272796630859
Trinidad and Tobago,1399000,Americas,4.73182487487793,7000,40.67755337154874,7.970836600499202,37.66678509053699,35.71428680419922,48.71794891357422,50
Tunisia,11819000,Africa,2.316662788391113,27000,53.75238137694284,32.60623914468711,47.91602792905335,57.14285659790039,47.43589782714844,50
Türkiye,84339000,Europe and Central Asia,15.64948081970215,1320000,45.86973098249688,65.21503410321355,50.72086366880331,35.71428680419922,48.71794891357422,63.6363639831543
